order_id,reseller_id,order_date,category,order_value,order_status
ORD10000,RS021,2024-04-04,Ethnic Wear,1633.14,Delivered
ORD10001,RS009,2024-04-08,Ethnic Wear,1633.14,Delivered
ORD10002,RS004,2024-04-22,Ethnic Wear,1633.14,Delivered
ORD10003,RS018,2024-04-03,Ethnic Wear,1633.14,Delivered
ORD10004,RS002,2024-04-01,Ethnic Wear,1633.14,Delivered
ORD10005,RS008,2024-04-17,Ethnic Wear,1633.14,Delivered
ORD10006,RS018,2024-04-07,Ethnic Wear,1633.14,Delivered
ORD10007,RS023,2024-04-18,Ethnic Wear,1633.14,Delivered
ORD10008,RS015,2024-04-19,Ethnic Wear,1633.14,Delivered
ORD10009,RS001,2024-04-25,Ethnic Wear,1633.14,Delivered
ORD10010,RS023,2024-04-14,Ethnic Wear,1633.14,Delivered
ORD10011,RS005,2024-04-07,Ethnic Wear,1633.14,Cancelled
ORD10012,RS011,2024-04-04,Ethnic Wear,1633.14,Delivered
ORD10013,RS004,2024-04-12,Ethnic Wear,1633.14,Delivered
ORD10014,RS020,2024-04-09,Ethnic Wear,1633.14,Delivered
ORD10015,RS015,2024-04-18,Ethnic Wear,1633.14,Delivered
ORD10016,RS013,2024-04-03,Ethnic Wear,1633.14,Delivered
ORD10017,RS021,2024-04-20,Ethnic Wear,1633.14,Cancelled
ORD10018,RS012,2024-04-19,Ethnic Wear,1633.14,Delivered
ORD10019,RS003,2024-04-02,Ethnic Wear,1633.14,Delivered
ORD10020,RS010,2024-04-03,Ethnic Wear,1633.14,Delivered
ORD10021,RS004,2024-04-13,Ethnic Wear,1633.14,Delivered
ORD10022,RS021,2024-04-27,Ethnic Wear,1633.14,Delivered
ORD10023,RS012,2024-04-12,Ethnic Wear,1633.14,Delivered
ORD10024,RS009,2024-04-23,Ethnic Wear,1633.14,Cancelled
ORD10025,RS021,2024-04-03,Ethnic Wear,1633.14,Delivered
ORD10026,RS006,2024-04-18,Ethnic Wear,1633.14,Delivered
ORD10027,RS006,2024-04-15,Ethnic Wear,1633.14,Delivered
ORD10028,RS021,2024-04-23,Ethnic Wear,1633.14,Delivered
ORD10029,RS022,2024-04-11,Ethnic Wear,1633.14,Delivered
ORD10030,RS002,2024-04-08,Ethnic Wear,1633.14,Delivered
ORD10031,RS011,2024-04-13,Ethnic Wear,1633.14,Delivered
ORD10032,RS007,2024-04-30,Ethnic Wear,1633.14,Cancelled
ORD10033,RS023,2024-04-11,Ethnic Wear,1633.14,Delivered
ORD10034,RS016,2024-04-13,Ethnic Wear,1633.14,Cancelled
ORD10035,RS021,2024-04-15,Ethnic Wear,1633.14,Delivered
ORD10036,RS005,2024-04-08,Ethnic Wear,1633.14,Delivered
ORD10037,RS018,2024-04-09,Ethnic Wear,1633.14,Delivered
ORD10038,RS014,2024-04-29,Ethnic Wear,1633.14,Delivered
ORD10039,RS012,2024-04-08,Ethnic Wear,1633.14,Returned
ORD10040,RS005,2024-04-17,Ethnic Wear,1633.14,Delivered
ORD10041,RS002,2024-04-28,Ethnic Wear,1633.14,Delivered
ORD10042,RS021,2024-04-06,Ethnic Wear,1633.14,Delivered
ORD10043,RS014,2024-04-20,Ethnic Wear,1633.14,Delivered
ORD10044,RS013,2024-04-20,Ethnic Wear,1633.14,Returned
ORD10045,RS017,2024-04-09,Ethnic Wear,1633.14,Returned
ORD10046,RS001,2024-04-22,Ethnic Wear,1633.14,Delivered
ORD10047,RS022,2024-04-29,Ethnic Wear,1633.14,Delivered
ORD10048,RS009,2024-04-25,Ethnic Wear,1633.14,Delivered
ORD10049,RS004,2024-04-10,Ethnic Wear,1633.14,Delivered
ORD10050,RS015,2024-04-01,Ethnic Wear,1633.14,Cancelled
ORD10051,RS009,2024-04-17,Ethnic Wear,1633.14,Delivered
ORD10052,RS017,2024-04-30,Ethnic Wear,1633.14,Delivered
ORD10053,RS021,2024-04-10,Ethnic Wear,1633.14,Delivered
ORD10054,RS017,2024-04-20,Ethnic Wear,1633.14,Delivered
ORD10055,RS012,2024-04-25,Ethnic Wear,1633.14,Delivered
ORD10056,RS017,2024-04-30,Ethnic Wear,1633.14,Delivered
ORD10057,RS011,2024-04-16,Ethnic Wear,1633.14,Delivered
ORD10058,RS012,2024-04-29,Ethnic Wear,1633.14,Returned
ORD10059,RS010,2024-04-08,Ethnic Wear,1633.14,Delivered
ORD10060,RS019,2024-04-03,Ethnic Wear,1633.14,Delivered
ORD10061,RS016,2024-04-27,Ethnic Wear,1633.14,Delivered
ORD10062,RS018,2024-04-25,Ethnic Wear,1633.14,Delivered
ORD10063,RS022,2024-04-16,Ethnic Wear,1632.95,Cancelled
ORD10064,RS006,2024-04-09,Western Wear,1538.72,Delivered
ORD10065,RS020,2024-04-14,Western Wear,1538.72,Returned
ORD10066,RS018,2024-04-25,Western Wear,1538.72,Delivered
ORD10067,RS007,2024-04-23,Western Wear,1538.72,Delivered
ORD10068,RS022,2024-04-21,Western Wear,1538.72,Delivered
ORD10069,RS017,2024-04-15,Western Wear,1538.72,Delivered
ORD10070,RS008,2024-04-03,Western Wear,1538.72,Delivered
ORD10071,RS019,2024-04-18,Western Wear,1538.72,Delivered
ORD10072,RS008,2024-04-01,Western Wear,1538.72,Delivered
ORD10073,RS021,2024-04-02,Western Wear,1538.72,Delivered
ORD10074,RS002,2024-04-28,Western Wear,1538.72,Delivered
ORD10075,RS017,2024-04-08,Western Wear,1538.72,Delivered
ORD10076,RS016,2024-04-07,Western Wear,1538.72,Delivered
ORD10077,RS019,2024-04-19,Western Wear,1538.72,Delivered
ORD10078,RS016,2024-04-26,Western Wear,1538.72,Delivered
ORD10079,RS004,2024-04-04,Western Wear,1538.72,Delivered
ORD10080,RS012,2024-04-14,Western Wear,1538.72,Delivered
ORD10081,RS002,2024-04-22,Western Wear,1538.72,Delivered
ORD10082,RS021,2024-04-04,Western Wear,1538.72,Delivered
ORD10083,RS011,2024-04-26,Western Wear,1538.72,Delivered
ORD10084,RS008,2024-04-07,Western Wear,1538.72,Delivered
ORD10085,RS015,2024-04-05,Western Wear,1538.72,Delivered
ORD10086,RS009,2024-04-15,Western Wear,1538.72,Delivered
ORD10087,RS003,2024-04-15,Western Wear,1538.72,Delivered
ORD10088,RS018,2024-04-04,Western Wear,1538.72,Delivered
ORD10089,RS018,2024-04-27,Western Wear,1538.72,Delivered
ORD10090,RS003,2024-04-30,Western Wear,1538.72,Delivered
ORD10091,RS008,2024-04-06,Western Wear,1538.72,Delivered
ORD10092,RS016,2024-04-07,Western Wear,1538.72,Delivered
ORD10093,RS002,2024-04-06,Western Wear,1538.72,Delivered
ORD10094,RS013,2024-04-09,Western Wear,1538.72,Cancelled
ORD10095,RS015,2024-04-10,Western Wear,1538.72,Delivered
ORD10096,RS018,2024-04-22,Western Wear,1538.72,Delivered
ORD10097,RS005,2024-04-07,Western Wear,1538.72,Delivered
